"TimeStamp","TickerMess","T0_Acc","V2000","V2001","V2002","V2003","V2004","V2005","V2006","V2007","V2008","V2009"
2019-10-11 8:59:09,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,11499,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
2019-10-11 8:59:10,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,12273,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
2019-10-11 8:59:11,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,13273,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
2019-10-11 8:59:12,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,14273,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
2019-10-11 8:59:13,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,272,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
2019-10-11 8:59:14,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,1272,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
2019-10-11 8:59:15,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,2272,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
2019-10-11 8:59:16,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,3273,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
2019-10-11 8:59:17,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,4273,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
2019-10-11 8:59:18,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,5272,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
2019-10-11 8:59:19,When Arnold says &quot;I'll be back&quot; in Terminator movie it is implied that he's going to ask Chuck Norris for help.,6272,18748,8260,15921,22332,20041,12320,12832,8244,14386,8247
